sales,email,opened,agreement,credit_limit,risk_score
740,1,1,0,2348.49526,0.666752019
580,1,1,1,334.1119686,0.207395103
600,1,1,1,1360.660722,0.550478898
770,0,0,0,1531.828576,0.560488243
660,0,0,0,979.8556466,0.455140269
710,1,0,0,1586.466623,0.581866774
790,1,0,0,1590.865488,0.576857468
690,0,0,0,665.8054954,0.373909697
820,0,0,0,1336.003501,0.515343823
590,0,0,0,1131.979962,0.480234633
670,0,0,0,1281.609741,0.512004929
540,0,0,0,453.4378666,0.266936081
620,1,1,0,1598.449452,0.588564477
720,1,1,0,1098.47839,0.468353237
890,1,1,1,1278.496618,0.504796312
660,0,0,0,1426.383869,0.533752096
620,1,0,0,781.4472547,0.399320269
680,1,1,0,861.8955662,0.418039134
630,1,0,0,1117.00785,0.509193661
540,1,1,0,725.1813359,0.382250174
820,1,1,1,1796.069852,0.592709767
610,0,0,0,1362.624338,0.53387475
740,1,1,1,1741.40993,0.592034003
700,1,1,1,409.8299258,0.24804158
630,1,0,0,981.3668528,0.452086407
660,1,1,0,946.0440303,0.436972282
620,1,1,1,536.245469,0.318920863
740,1,1,1,1452.084511,0.552186139
690,1,1,1,559.5690533,0.303216058
700,0,0,0,805.5667253,0.401584097
560,0,0,0,666.3830627,0.352821864
530,1,0,0,1130.435897,0.481882465
630,1,1,0,1422.504776,0.554709818
830,1,0,0,1839.420582,0.603694313
800,1,1,0,1082.9983,0.473845205
600,0,0,0,901.4807568,0.430603056
700,1,1,1,1253.340202,0.494893498
650,1,0,0,1186.477335,0.490033575
580,1,1,1,813.1503242,0.401182989
820,0,0,0,2303.136888,0.662529164
800,0,0,0,1869.121531,0.601545445
510,1,1,1,742.2132879,0.398565341
800,0,0,0,1948.882635,0.609816041
800,0,0,0,1903.656758,0.600396482
510,0,0,0,884.7415057,0.431641264
880,1,0,0,1934.375923,0.629706926
690,1,1,0,1207.472061,0.506158588
500,0,0,0,693.319761,0.375937485
560,1,0,0,942.9850299,0.448678865
660,1,1,1,388.3930109,0.255040734
560,1,1,1,860.4236219,0.413696752
570,0,0,0,868.8998931,0.427384312
510,1,0,0,860.9539037,0.436629336
1030,1,1,1,3132.76771,0.718744404
500,1,0,0,799.6216851,0.394655681
610,0,0,0,832.8941475,0.411187251
760,1,1,1,2009.860046,0.616509127
600,1,1,1,1133.951692,0.487073382
570,1,1,1,997.1792167,0.44858748
